device_id,study_id,technology_family,device_on_off_ratio,device_log10_on_off_ratio,state_count_available,physical_state_count,device_conductance_mode,device_state_count_status,parameter_source,mapping_strategy,precision_basis,crossbar_size,requested_weight_bits,effective_weight_levels,slices_per_branch,physical_cells_per_weight,adc_bits,estimated_memristor_cells,estimated_physical_crossbar_tiles,adc_levels,relative_hardware_cost_proxy,accuracy,accuracy_loss
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,5,31,4,8,7,813056,832,128,106496,96.17,0.0600000000000022
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,5,31,4,8,7,813056,40,128,5120,96.17,0.0600000000000022
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,7,127,6,12,4,1219584,4800,16,76800,96.17,0.0600000000000022
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,5,31,4,8,8,813056,64,256,16384,96.17,0.0600000000000022
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,6,63,5,10,6,1016320,80,64,5120,96.17,0.0600000000000022
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,5,31,4,8,5,813056,3200,32,102400,96.16,0.0700000000000073
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,5,31,4,8,5,813056,832,32,26624,96.15,0.0799999999999983
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,8,255,7,14,4,1422848,1456,16,23296,96.15,0.0799999999999983
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,5,31,4,8,10,813056,3200,1024,3276800,96.15,0.0799999999999983
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,5,31,4,8,10,813056,832,1024,851968,96.14,0.0900000000000034
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,5,31,4,8,10,813056,40,1024,40960,96.14,0.0900000000000034
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,5,31,4,8,7,813056,3200,128,409600,96.14,0.0900000000000034
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,7,127,6,12,4,1219584,1248,16,19968,96.14,0.0900000000000034
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,5,31,4,8,9,813056,40,512,20480,96.13,0.1000000000000085
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,5,31,4,8,9,813056,832,512,425984,96.13,0.1000000000000085
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,5,31,4,8,9,813056,224,512,114688,96.13,0.1000000000000085
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,5,31,4,8,10,813056,224,1024,229376,96.13,0.1000000000000085
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,5,31,4,8,7,813056,64,128,8192,96.12,0.1099999999999994
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,5,31,4,8,9,813056,64,512,32768,96.12,0.1099999999999994
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,6,63,5,10,4,1016320,4000,16,64000,96.12,0.1099999999999994
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,5,31,4,8,10,813056,64,1024,65536,96.11,0.1200000000000045
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,5,31,4,8,9,813056,3200,512,1638400,96.11,0.1200000000000045
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,5,31,4,8,8,813056,3200,256,819200,96.11,0.1200000000000045
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,5,31,4,8,6,813056,64,64,4096,96.11,0.1200000000000045
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,4,15,3,6,6,609792,2400,64,153600,96.1,0.1300000000000096
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,5,31,4,8,8,813056,224,256,57344,96.1,0.1300000000000096
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,4,15,3,6,7,609792,168,128,21504,96.1,0.1300000000000096
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,4,15,3,6,7,609792,2400,128,307200,96.09,0.1400000000000005
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,4,15,3,6,5,609792,168,32,5376,96.09,0.1400000000000005
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,8,255,7,14,5,1422848,70,32,2240,96.09,0.1400000000000005
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,4,15,3,6,6,609792,48,64,3072,96.08,0.1500000000000056
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,4,15,3,6,6,609792,168,64,10752,96.08,0.1500000000000056
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,4,15,3,6,10,609792,30,1024,30720,96.07,0.1600000000000108
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,4,15,3,6,9,609792,2400,512,1228800,96.07,0.1600000000000108
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,4,15,3,6,8,609792,2400,256,614400,96.07,0.1600000000000108
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,5,31,4,8,5,813056,224,32,7168,96.07,0.1600000000000108
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,4,15,3,6,6,609792,624,64,39936,96.07,0.1600000000000108
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,4,15,3,6,8,609792,624,256,159744,96.07,0.1600000000000108
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,4,15,3,6,8,609792,48,256,12288,96.06,0.1700000000000017
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,4,15,3,6,10,609792,48,1024,49152,96.06,0.1700000000000017
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,8,255,7,14,5,1422848,112,32,3584,96.06,0.1700000000000017
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,4,15,3,6,10,609792,624,1024,638976,96.06,0.1700000000000017
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,4,15,3,6,5,609792,624,32,19968,96.06,0.1700000000000017
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,4,15,3,6,10,609792,2400,1024,2457600,96.06,0.1700000000000017
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,5,31,4,8,4,813056,3200,16,51200,96.06,0.1700000000000017
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,4,15,3,6,10,609792,168,1024,172032,96.06,0.1700000000000017
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,4,15,3,6,7,609792,624,128,79872,96.05,0.1800000000000068
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,6,63,5,10,5,1016320,80,32,2560,96.05,0.1800000000000068
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,4,15,3,6,8,609792,30,256,7680,96.05,0.1800000000000068
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,4,15,3,6,9,609792,30,512,15360,96.05,0.1800000000000068
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,4,15,3,6,8,609792,168,256,43008,96.04,0.1899999999999977
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,4,15,3,6,9,609792,48,512,24576,96.04,0.1899999999999977
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,7,127,6,12,4,1219584,336,16,5376,96.04,0.1899999999999977
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,4,15,3,6,7,609792,30,128,3840,96.04,0.1899999999999977
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,6,63,5,10,5,1016320,50,32,1600,96.04,0.1899999999999977
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,4,15,3,6,6,609792,30,64,1920,96.04,0.1899999999999977
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,4,15,3,6,9,609792,624,512,319488,96.04,0.1899999999999977
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,4,15,3,6,9,609792,168,512,86016,96.03,0.2000000000000028
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,4,15,3,6,7,609792,48,128,6144,96.03,0.2000000000000028
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,5,31,4,8,4,813056,832,16,13312,95.99,0.2400000000000091
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,4,15,3,6,4,609792,624,16,9984,95.97,0.2600000000000051
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,4,15,3,6,5,609792,2400,32,76800,95.96,0.2700000000000102
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,8,255,7,14,4,1422848,392,16,6272,95.95,0.2800000000000011
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,4,15,3,6,4,609792,2400,16,38400,95.95,0.2800000000000011
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,7,127,6,12,5,1219584,60,32,1920,95.94,0.2900000000000062
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,6,63,5,10,4,1016320,280,16,4480,95.93,0.2999999999999971
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,5,31,4,8,5,813056,64,32,2048,95.91,0.3200000000000074
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,7,127,6,12,5,1219584,96,32,3072,95.9,0.3299999999999983
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,4,15,3,6,5,609792,30,32,960,95.89,0.3400000000000034
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,5,31,4,8,5,813056,40,32,1280,95.87,0.3599999999999994
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,4,15,3,6,5,609792,48,32,1536,95.86,0.3700000000000045
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,4,15,3,6,4,609792,168,16,2688,95.75,0.480000000000004
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,5,31,4,8,4,813056,224,16,3584,95.73,0.5
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,8,255,7,14,4,1422848,112,16,1792,95.32,0.9100000000000108
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,6,63,5,10,4,1016320,80,16,1280,95.27,0.960000000000008
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,7,127,6,12,4,1219584,60,16,960,95.27,0.960000000000008
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,7,127,6,12,4,1219584,96,16,1536,95.24,0.9900000000000092
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,8,255,7,14,4,1422848,70,16,1120,95.19,1.0400000000000065
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,6,63,5,10,4,1016320,50,16,800,95.15,1.0799999999999983
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,5,31,4,8,4,813056,64,16,1024,95.08,1.1500000000000057
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,5,31,4,8,4,813056,40,16,640,95.07,1.1600000000000108
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,4,15,3,6,4,609792,48,16,768,94.56,1.6700000000000017
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,4,15,3,6,4,609792,30,16,480,94.44,1.7900000000000065
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,3,7,2,4,9,406528,32,512,16384,92.26,3.969999999999999
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,3,7,2,4,9,406528,416,512,212992,92.26,3.969999999999999
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,3,7,2,4,5,406528,1600,32,51200,92.25,3.980000000000004
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,3,7,2,4,9,406528,112,512,57344,92.25,3.980000000000004
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,3,7,2,4,10,406528,1600,1024,1638400,92.24,3.990000000000009
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,3,7,2,4,7,406528,416,128,53248,92.23,4.0
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,32,3,7,2,4,10,406528,416,1024,425984,92.23,4.0
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,3,7,2,4,9,406528,1600,512,819200,92.23,4.0
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,64,3,7,2,4,10,406528,112,1024,114688,92.22,4.010000000000005
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,16,3,7,2,4,7,406528,1600,128,204800,92.22,4.010000000000005
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,256,3,7,2,4,10,406528,20,1024,20480,92.22,4.010000000000005
ZnO_01,10.3390/electronics7120445,ZnO,1000.0,3.0,1,2,DISCRETE_BINARY,REPORTED,normalized_from_ratio,BINARY_BIT_SLICED_DIFFERENTIAL,BIT_SLICED_BINARY_MAPPING,128,3,7,2,4,10,406528,32,1024,32768,92.22,4.010000000000005
